group,date,sgtf,voc,sgtfv
North East and Yorkshire,2020-11-21,6,0,0
North East and Yorkshire,2020-11-22,4,3,0.75
North East and Yorkshire,2020-11-23,5,1,0.2
North East and Yorkshire,2020-11-24,5,0,0
North East and Yorkshire,2020-11-25,12,4,0.333333333333333
North East and Yorkshire,2020-11-26,12,7,0.583333333333333
North East and Yorkshire,2020-11-27,7,4,0.571428571428571
North East and Yorkshire,2020-11-28,3,3,1
North East and Yorkshire,2020-11-29,2,0,0
North East and Yorkshire,2020-11-30,11,3,0.272727272727273
North East and Yorkshire,2020-12-01,2,0,0
North East and Yorkshire,2020-12-02,2,1,0.5
North East and Yorkshire,2020-12-03,1,0,0
North East and Yorkshire,2020-12-04,1,0,0
North East and Yorkshire,2020-12-05,4,4,1
North East and Yorkshire,2020-12-06,10,9,0.9
North East and Yorkshire,2020-12-07,5,5,1
North East and Yorkshire,2020-12-08,2,1,0.5
North East and Yorkshire,2020-12-09,0,0,0.416666666666667
North East and Yorkshire,2020-12-10,3,1,0.333333333333333
North East and Yorkshire,2020-12-11,71,63,0.887323943661972
North East and Yorkshire,2020-12-12,28,24,0.857142857142857
North East and Yorkshire,2020-12-13,10,10,1
North East and Yorkshire,2020-12-14,28,25,0.892857142857143
North East and Yorkshire,2020-12-15,6,6,1
North East and Yorkshire,2020-12-16,8,8,1
North East and Yorkshire,2020-12-17,8,8,1
North East and Yorkshire,2020-12-18,19,17,0.894736842105263
North East and Yorkshire,2020-12-19,2,2,1
North East and Yorkshire,2020-12-20,67,63,0.940298507462687
North East and Yorkshire,2020-12-21,13,12,0.923076923076923
North East and Yorkshire,2020-12-22,25,25,1
North East and Yorkshire,2020-12-23,28,28,1
North East and Yorkshire,2020-12-24,22,22,1
North East and Yorkshire,2020-12-25,0,0,1
North East and Yorkshire,2020-12-26,40,40,1
North East and Yorkshire,2020-12-27,39,37,0.948717948717949
North East and Yorkshire,2020-12-28,6,6,1
North East and Yorkshire,2020-12-29,161,161,1
North East and Yorkshire,2020-12-30,52,52,1
North East and Yorkshire,2020-12-31,22,22,1
North East and Yorkshire,2021-01-01,3,3,1
North East and Yorkshire,2021-01-02,12,12,1
North East and Yorkshire,2021-01-03,22,22,1
North East and Yorkshire,2021-01-04,13,13,1
North East and Yorkshire,2021-01-05,6,5,1
North East and Yorkshire,2021-01-06,,,1
North East and Yorkshire,2021-01-07,,,1
North East and Yorkshire,2021-01-08,,,1
North East and Yorkshire,2021-01-09,,,1
North East and Yorkshire,2021-01-10,,,1
North East and Yorkshire,2021-01-11,,,1
North East and Yorkshire,2021-01-12,,,1
North East and Yorkshire,2021-01-13,,,1
North East and Yorkshire,2021-01-14,,,1
North East and Yorkshire,2021-01-15,,,1
North East and Yorkshire,2021-01-16,,,1
North East and Yorkshire,2021-01-17,,,1
North East and Yorkshire,2021-01-18,,,1
North East and Yorkshire,2021-01-19,,,1
North East and Yorkshire,2021-01-20,,,1
North East and Yorkshire,2021-01-21,,,1
North East and Yorkshire,2021-01-22,,,1
North East and Yorkshire,2021-01-23,,,1
North East and Yorkshire,2021-01-24,,,1
North East and Yorkshire,2021-01-25,,,1
North East and Yorkshire,2021-01-26,,,1
North East and Yorkshire,2021-01-27,,,1
North East and Yorkshire,2021-01-28,,,1
North East and Yorkshire,2021-01-29,,,1
North East and Yorkshire,2021-01-30,,,1
North East and Yorkshire,2021-01-31,,,1
North East and Yorkshire,2021-02-01,,,1
North East and Yorkshire,2021-02-02,,,1
North East and Yorkshire,2021-02-03,,,1
North East and Yorkshire,2021-02-04,,,1
North East and Yorkshire,2021-02-05,,,1
North East and Yorkshire,2021-02-06,,,1
North East and Yorkshire,2021-02-07,,,1
North East and Yorkshire,2021-02-08,,,1
North East and Yorkshire,2021-02-09,,,1
North East and Yorkshire,2021-02-10,,,1
North East and Yorkshire,2021-02-11,,,1
North East and Yorkshire,2021-02-12,,,1
North East and Yorkshire,2021-02-13,,,1
North East and Yorkshire,2021-02-14,,,1
North East and Yorkshire,2021-02-15,,,1
North East and Yorkshire,2021-02-16,,,1
North East and Yorkshire,2021-02-17,,,1
North East and Yorkshire,2021-02-18,,,1
North East and Yorkshire,2021-02-19,,,1
North East and Yorkshire,2021-02-20,,,1
North East and Yorkshire,2021-02-21,,,1
North East and Yorkshire,2021-02-22,,,1
North East and Yorkshire,2021-02-23,,,1
North East and Yorkshire,2021-02-24,,,1
North East and Yorkshire,2021-02-25,,,1
North East and Yorkshire,2021-02-26,,,1
North East and Yorkshire,2021-02-27,,,1
North East and Yorkshire,2021-02-28,,,1
North West,2020-09-01,0,0,0
North West,2020-09-02,0,0,0
North West,2020-09-03,0,0,0
North West,2020-09-04,1,0,0
North West,2020-09-05,0,0,0
North West,2020-09-06,0,0,0
North West,2020-09-07,0,0,0
North West,2020-09-08,0,0,0
North West,2020-09-09,0,0,0
North West,2020-09-10,1,0,0
North West,2020-09-11,1,0,0
North West,2020-09-12,0,0,0
North West,2020-09-13,0,0,0
North West,2020-09-14,0,0,0
North West,2020-09-15,0,0,0
North West,2020-09-16,3,0,0
North West,2020-09-17,0,0,0
North West,2020-09-18,0,0,0
North West,2020-09-19,0,0,0
North West,2020-09-20,0,0,0
North West,2020-09-21,0,0,0
North West,2020-09-22,0,0,0
North West,2020-09-23,0,0,0
North West,2020-09-24,3,0,0
North West,2020-09-25,1,0,0
North West,2020-09-26,0,0,0
North West,2020-09-27,0,0,0
North West,2020-09-28,2,0,0
North West,2020-09-29,1,0,0
North West,2020-09-30,0,0,0
North West,2020-10-01,0,0,0
North West,2020-10-02,1,0,0
North West,2020-10-03,0,0,0
North West,2020-10-04,0,0,0
North West,2020-10-05,3,0,0
North West,2020-10-06,4,0,0
North West,2020-10-07,9,0,0
North West,2020-10-08,2,0,0
North West,2020-10-09,1,0,0
North West,2020-10-10,0,0,0
North West,2020-10-11,0,0,0
North West,2020-10-12,5,0,0
North West,2020-10-13,0,0,0
North West,2020-10-14,3,0,0
North West,2020-10-15,4,0,0
North West,2020-10-16,1,0,0
North West,2020-10-17,1,0,0
North West,2020-10-18,0,0,0
North West,2020-10-19,1,0,0
North West,2020-10-20,1,0,0
North West,2020-10-21,0,0,0
North West,2020-10-22,4,0,0
North West,2020-10-23,0,0,0
North West,2020-10-24,0,0,0
North West,2020-10-25,0,0,0
North West,2020-10-26,0,0,0
North West,2020-10-27,3,0,0
North West,2020-10-28,0,0,0
North West,2020-10-29,0,0,0
North West,2020-10-30,0,0,0
North West,2020-10-31,0,0,0
North West,2020-11-01,10,0,0
North West,2020-11-02,1,0,0
North West,2020-11-03,0,0,0
North West,2020-11-04,2,0,0
North West,2020-11-05,0,0,0.5
North West,2020-11-06,1,1,1
North West,2020-11-07,3,0,0
North West,2020-11-08,2,1,0.5
North West,2020-11-09,1,1,1
North West,2020-11-10,2,0,0
North West,2020-11-11,0,0,0.5
North West,2020-11-12,1,1,1
North West,2020-11-13,0,0,0.666666666666667
North West,2020-11-14,3,1,0.333333333333333
North West,2020-11-15,4,1,0.25
North West,2020-11-16,0,0,0.2
North West,2020-11-17,0,0,0.15
North West,2020-11-18,0,0,0.1
North West,2020-11-19,0,0,0.05
North West,2020-11-20,1,0,0
North West,2020-11-21,3,2,0.666666666666667
North West,2020-11-22,0,0,0.433333333333333
North West,2020-11-23,5,1,0.2
North West,2020-11-24,0,0,0.1
North West,2020-11-25,1,0,0
North West,2020-11-26,0,0,0.166666666666667
North West,2020-11-27,0,0,0.333333333333333
North West,2020-11-28,0,0,0.5
North West,2020-11-29,0,0,0.666666666666667
North West,2020-11-30,0,0,0.833333333333333
North West,2020-12-01,1,1,1
North West,2020-12-02,0,0,1
North West,2020-12-03,1,1,1
North West,2020-12-04,5,5,1
North West,2020-12-05,2,2,1
North West,2020-12-06,6,4,0.666666666666667
North West,2020-12-07,1,1,1
North West,2020-12-08,2,2,1
North West,2020-12-09,9,8,0.888888888888889
North West,2020-12-10,16,14,0.875
North West,2020-12-11,3,3,1
North West,2020-12-12,3,3,1
North West,2020-12-13,7,7,1
North West,2020-12-14,21,20,0.952380952380952
North West,2020-12-15,4,4,1
North West,2020-12-16,5,5,1
North West,2020-12-17,22,21,0.954545454545455
North West,2020-12-18,7,7,1
North West,2020-12-19,25,25,1
North West,2020-12-20,34,34,1
North West,2020-12-21,86,83,0.965116279069768
North West,2020-12-22,0,0,0.976744186046512
North West,2020-12-23,0,0,0.988372093023256
North West,2020-12-24,1,1,1
North West,2020-12-25,1,1,1
North West,2020-12-26,10,10,1
North West,2020-12-27,110,110,1
North West,2020-12-28,66,66,1
North West,2020-12-29,29,29,1
North West,2020-12-30,53,52,0.981132075471698
North West,2020-12-31,27,27,1
North West,2021-01-01,18,18,1
North West,2021-01-02,10,9,1
North West,2021-01-03,5,5,1
North West,2021-01-04,1,1,1
North West,2021-01-05,,,1
North West,2021-01-06,,,1
North West,2021-01-07,,,1
North West,2021-01-08,,,1
North West,2021-01-09,,,1
North West,2021-01-10,,,1
North West,2021-01-11,,,1
North West,2021-01-12,,,1
North West,2021-01-13,,,1
North West,2021-01-14,,,1
North West,2021-01-15,,,1
North West,2021-01-16,,,1
North West,2021-01-17,,,1
North West,2021-01-18,,,1
North West,2021-01-19,,,1
North West,2021-01-20,,,1
North West,2021-01-21,,,1
North West,2021-01-22,,,1
North West,2021-01-23,,,1
North West,2021-01-24,,,1
North West,2021-01-25,,,1
North West,2021-01-26,,,1
North West,2021-01-27,,,1
North West,2021-01-28,,,1
North West,2021-01-29,,,1
North West,2021-01-30,,,1
North West,2021-01-31,,,1
North West,2021-02-01,,,1
North West,2021-02-02,,,1
North West,2021-02-03,,,1
North West,2021-02-04,,,1
North West,2021-02-05,,,1
North West,2021-02-06,,,1
North West,2021-02-07,,,1
North West,2021-02-08,,,1
North West,2021-02-09,,,1
North West,2021-02-10,,,1
North West,2021-02-11,,,1
North West,2021-02-12,,,1
North West,2021-02-13,,,1
North West,2021-02-14,,,1
North West,2021-02-15,,,1
North West,2021-02-16,,,1
North West,2021-02-17,,,1
North West,2021-02-18,,,1
North West,2021-02-19,,,1
North West,2021-02-20,,,1
North West,2021-02-21,,,1
North West,2021-02-22,,,1
North West,2021-02-23,,,1
North West,2021-02-24,,,1
North West,2021-02-25,,,1
North West,2021-02-26,,,1
North West,2021-02-27,,,1
North West,2021-02-28,,,1
South East,2020-09-01,2,0,0
South East,2020-09-02,0,0,0
South East,2020-09-03,1,0,0
South East,2020-09-04,0,0,0
South East,2020-09-05,0,0,0
South East,2020-09-06,,,0
South East,2020-09-07,2,0,0
South East,2020-09-08,0,0,0
South East,2020-09-09,3,0,0
South East,2020-09-10,4,0,0
South East,2020-09-11,1,0,0
South East,2020-09-12,0,0,0
South East,2020-09-13,0,0,0
South East,2020-09-14,2,0,0
South East,2020-09-15,0,0,0
South East,2020-09-16,0,0,0
South East,2020-09-17,0,0,0
South East,2020-09-18,1,0,0
South East,2020-09-19,2,0,0
South East,2020-09-20,2,1,0.5
South East,2020-09-21,1,0,0
South East,2020-09-22,3,0,0
South East,2020-09-23,2,0,0
South East,2020-09-24,3,0,0
South East,2020-09-25,2,0,0
South East,2020-09-26,1,0,0
South East,2020-09-27,0,0,0
South East,2020-09-28,0,0,0
South East,2020-09-29,2,0,0
South East,2020-09-30,2,2,1
South East,2020-10-01,5,0,0
South East,2020-10-02,2,0,0
South East,2020-10-03,1,0,0
South East,2020-10-04,2,0,0
South East,2020-10-05,0,0,0
South East,2020-10-06,1,0,0
South East,2020-10-07,1,0,0
South East,2020-10-08,4,0,0
South East,2020-10-09,1,0,0
South East,2020-10-10,0,0,0.214285714285714
South East,2020-10-11,7,3,0.428571428571429
South East,2020-10-12,0,0,0.214285714285714
South East,2020-10-13,5,0,0
South East,2020-10-14,0,0,0.166666666666667
South East,2020-10-15,6,2,0.333333333333333
South East,2020-10-16,1,0,0
South East,2020-10-17,0,0,0
South East,2020-10-18,0,0,0
South East,2020-10-19,0,0,0
South East,2020-10-20,3,0,0
South East,2020-10-21,19,13,0.68421052631579
South East,2020-10-22,13,6,0.461538461538462
South East,2020-10-23,7,6,0.857142857142857
South East,2020-10-24,8,4,0.5
South East,2020-10-25,0,0,0.5
South East,2020-10-26,2,1,0.5
South East,2020-10-27,0,0,0.619047619047619
South East,2020-10-28,0,0,0.738095238095238
South East,2020-10-29,14,12,0.857142857142857
South East,2020-10-30,4,2,0.5
South East,2020-10-31,0,0,0.65
South East,2020-11-01,10,8,0.8
South East,2020-11-02,14,13,0.928571428571429
South East,2020-11-03,2,2,1
South East,2020-11-04,0,0,0.959183673469388
South East,2020-11-05,49,45,0.918367346938776
South East,2020-11-06,10,10,1
South East,2020-11-07,0,0,0.935483870967742
South East,2020-11-08,62,54,0.870967741935484
South East,2020-11-09,11,8,0.727272727272727
South East,2020-11-10,9,7,0.777777777777778
South East,2020-11-11,19,19,1
South East,2020-11-12,49,47,0.959183673469388
South East,2020-11-13,77,72,0.935064935064935
South East,2020-11-14,57,52,0.912280701754386
South East,2020-11-15,43,43,1
South East,2020-11-16,0,0,0.990740740740741
South East,2020-11-17,54,53,0.981481481481481
South East,2020-11-18,52,45,0.865384615384615
South East,2020-11-19,16,13,0.8125
South East,2020-11-20,9,9,1
South East,2020-11-21,41,41,1
South East,2020-11-22,123,123,1
South East,2020-11-23,1,1,1
South East,2020-11-24,1,1,1
South East,2020-11-25,2,2,1
South East,2020-11-26,36,36,1
South East,2020-11-27,32,32,1
South East,2020-11-28,43,42,0.976744186046512
South East,2020-11-29,27,26,0.962962962962963
South East,2020-11-30,12,12,1
South East,2020-12-01,0,0,1
South East,2020-12-02,8,8,1
South East,2020-12-03,21,21,1
South East,2020-12-04,40,40,1
South East,2020-12-05,29,29,1
South East,2020-12-06,8,8,1
South East,2020-12-07,105,105,1
South East,2020-12-08,94,92,0.978723404255319
South East,2020-12-09,38,37,0.973684210526316
South East,2020-12-10,217,212,0.976958525345622
South East,2020-12-11,72,69,0.958333333333333
South East,2020-12-12,82,81,0.987804878048781
South East,2020-12-13,141,138,0.978723404255319
South East,2020-12-14,66,66,1
South East,2020-12-15,152,149,0.980263157894737
South East,2020-12-16,135,135,1
South East,2020-12-17,222,219,0.986486486486486
South East,2020-12-18,259,257,0.992277992277992
South East,2020-12-19,147,147,1
South East,2020-12-20,80,78,0.975
South East,2020-12-21,104,102,0.980769230769231
South East,2020-12-22,38,38,1
South East,2020-12-23,25,25,1
South East,2020-12-24,67,67,1
South East,2020-12-25,5,5,1
South East,2020-12-26,144,144,1
South East,2020-12-27,44,44,1
South East,2020-12-28,45,43,0.955555555555556
South East,2020-12-29,77,77,1
South East,2020-12-30,53,53,1
South East,2020-12-31,26,24,0.923076923076923
South East,2021-01-01,1,0,1
South East,2021-01-02,,,1
South East,2021-01-03,,,1
South East,2021-01-04,,,1
South East,2021-01-05,,,1
South East,2021-01-06,,,1
South East,2021-01-07,,,1
South East,2021-01-08,,,1
South East,2021-01-09,,,1
South East,2021-01-10,,,1
South East,2021-01-11,,,1
South East,2021-01-12,,,1
South East,2021-01-13,,,1
South East,2021-01-14,,,1
South East,2021-01-15,,,1
South East,2021-01-16,,,1
South East,2021-01-17,,,1
South East,2021-01-18,,,1
South East,2021-01-19,,,1
South East,2021-01-20,,,1
South East,2021-01-21,,,1
South East,2021-01-22,,,1
South East,2021-01-23,,,1
South East,2021-01-24,,,1
South East,2021-01-25,,,1
South East,2021-01-26,,,1
South East,2021-01-27,,,1
South East,2021-01-28,,,1
South East,2021-01-29,,,1
South East,2021-01-30,,,1
South East,2021-01-31,,,1
South East,2021-02-01,,,1
South East,2021-02-02,,,1
South East,2021-02-03,,,1
South East,2021-02-04,,,1
South East,2021-02-05,,,1
South East,2021-02-06,,,1
South East,2021-02-07,,,1
South East,2021-02-08,,,1
South East,2021-02-09,,,1
South East,2021-02-10,,,1
South East,2021-02-11,,,1
South East,2021-02-12,,,1
South East,2021-02-13,,,1
South East,2021-02-14,,,1
South East,2021-02-15,,,1
South East,2021-02-16,,,1
South East,2021-02-17,,,1
South East,2021-02-18,,,1
South East,2021-02-19,,,1
South East,2021-02-20,,,1
South East,2021-02-21,,,1
South East,2021-02-22,,,1
South East,2021-02-23,,,1
South East,2021-02-24,,,1
South East,2021-02-25,,,1
South East,2021-02-26,,,1
South East,2021-02-27,,,1
South East,2021-02-28,,,1
South West,2020-09-01,2,0,0
South West,2020-09-02,1,0,0
South West,2020-09-03,0,0,0
South West,2020-09-04,1,0,0
South West,2020-09-05,1,0,0
South West,2020-09-06,0,0,0
South West,2020-09-07,1,0,0
South West,2020-09-08,0,0,0
South West,2020-09-09,0,0,0
South West,2020-09-10,2,0,0
South West,2020-09-11,0,0,0
South West,2020-09-12,0,0,0
South West,2020-09-13,1,0,0
South West,2020-09-14,0,0,0
South West,2020-09-15,0,0,0
South West,2020-09-16,1,0,0
South West,2020-09-17,0,0,0
South West,2020-09-18,0,0,0
South West,2020-09-19,2,0,0
South West,2020-09-20,2,0,0
South West,2020-09-21,0,0,0
South West,2020-09-22,0,0,0
South West,2020-09-23,4,0,0
South West,2020-09-24,0,0,0
South West,2020-09-25,4,0,0
South West,2020-09-26,0,0,0
South West,2020-09-27,0,0,0
South West,2020-09-28,0,0,0
South West,2020-09-29,1,0,0
South West,2020-09-30,0,0,0
South West,2020-10-01,1,0,0
South West,2020-10-02,0,0,0
South West,2020-10-03,2,0,0
South West,2020-10-04,2,0,0
South West,2020-10-05,2,0,0
South West,2020-10-06,5,0,0
South West,2020-10-07,0,0,0
South West,2020-10-08,0,0,0
South West,2020-10-09,3,0,0
South West,2020-10-10,0,0,0
South West,2020-10-11,3,0,0
South West,2020-10-12,1,0,0
South West,2020-10-13,1,0,0
South West,2020-10-14,1,0,0
South West,2020-10-15,0,0,0
South West,2020-10-16,1,0,0
South West,2020-10-17,0,0,0
South West,2020-10-18,0,0,0
South West,2020-10-19,0,0,0
South West,2020-10-20,2,0,0
South West,2020-10-21,0,0,0
South West,2020-10-22,1,0,0
South West,2020-10-23,0,0,0
South West,2020-10-24,4,0,0
South West,2020-10-25,0,0,0
South West,2020-10-26,1,0,0
South West,2020-10-27,1,0,0
South West,2020-10-28,0,0,0
South West,2020-10-29,1,0,0
South West,2020-10-30,1,0,0
South West,2020-10-31,0,0,0
South West,2020-11-01,3,0,0
South West,2020-11-02,6,0,0
South West,2020-11-03,1,0,0
South West,2020-11-04,1,0,0
South West,2020-11-05,0,0,0
South West,2020-11-06,0,0,0
South West,2020-11-07,0,0,0
South West,2020-11-08,2,0,0
South West,2020-11-09,0,0,0
South West,2020-11-10,0,0,0
South West,2020-11-11,1,0,0
South West,2020-11-12,3,1,0.333333333333333
South West,2020-11-13,1,1,1
South West,2020-11-14,7,6,0.857142857142857
South West,2020-11-15,0,0,0.767857142857143
South West,2020-11-16,0,0,0.678571428571429
South West,2020-11-17,0,0,0.589285714285714
South West,2020-11-18,2,1,0.5
South West,2020-11-19,0,0,0.75
South West,2020-11-20,1,1,1
South West,2020-11-21,0,0,1
South West,2020-11-22,3,3,1
South West,2020-11-23,0,0,1
South West,2020-11-24,,,1
South West,2020-11-25,,,1
South West,2020-11-26,0,0,1
South West,2020-11-27,0,0,1
South West,2020-11-28,1,1,1
South West,2020-11-29,,,1
South West,2020-11-30,0,0,1
South West,2020-12-01,0,0,1
South West,2020-12-02,4,4,1
South West,2020-12-03,1,1,1
South West,2020-12-04,3,3,1
South West,2020-12-05,1,1,1
South West,2020-12-06,2,2,1
South West,2020-12-07,0,0,0.916666666666667
South West,2020-12-08,6,5,0.833333333333333
South West,2020-12-09,2,2,1
South West,2020-12-10,13,13,1
South West,2020-12-11,2,1,0.5
South West,2020-12-12,4,4,1
South West,2020-12-13,3,3,1
South West,2020-12-14,3,2,0.666666666666667
South West,2020-12-15,5,5,1
South West,2020-12-16,11,11,1
South West,2020-12-17,22,22,1
South West,2020-12-18,18,18,1
South West,2020-12-19,7,7,1
South West,2020-12-20,27,27,1
South West,2020-12-21,19,17,0.894736842105263
South West,2020-12-22,2,2,1
South West,2020-12-23,4,4,1
South West,2020-12-24,10,8,0.8
South West,2020-12-25,1,1,1
South West,2020-12-26,5,5,1
South West,2020-12-27,31,31,1
South West,2020-12-28,9,9,1
South West,2020-12-29,6,6,1
South West,2020-12-30,8,8,1
South West,2020-12-31,3,3,1
South West,2021-01-01,,,1
South West,2021-01-02,,,1
South West,2021-01-03,,,1
South West,2021-01-04,,,1
South West,2021-01-05,,,1
South West,2021-01-06,,,1
South West,2021-01-07,,,1
South West,2021-01-08,,,1
South West,2021-01-09,,,1
South West,2021-01-10,,,1
South West,2021-01-11,,,1
South West,2021-01-12,,,1
South West,2021-01-13,,,1
South West,2021-01-14,,,1
South West,2021-01-15,,,1
South West,2021-01-16,,,1
South West,2021-01-17,,,1
South West,2021-01-18,,,1
South West,2021-01-19,,,1
South West,2021-01-20,,,1
South West,2021-01-21,,,1
South West,2021-01-22,,,1
South West,2021-01-23,,,1
South West,2021-01-24,,,1
South West,2021-01-25,,,1
South West,2021-01-26,,,1
South West,2021-01-27,,,1
South West,2021-01-28,,,1
South West,2021-01-29,,,1
South West,2021-01-30,,,1
South West,2021-01-31,,,1
South West,2021-02-01,,,1
South West,2021-02-02,,,1
South West,2021-02-03,,,1
South West,2021-02-04,,,1
South West,2021-02-05,,,1
South West,2021-02-06,,,1
South West,2021-02-07,,,1
South West,2021-02-08,,,1
South West,2021-02-09,,,1
South West,2021-02-10,,,1
South West,2021-02-11,,,1
South West,2021-02-12,,,1
South West,2021-02-13,,,1
South West,2021-02-14,,,1
South West,2021-02-15,,,1
South West,2021-02-16,,,1
South West,2021-02-17,,,1
South West,2021-02-18,,,1
South West,2021-02-19,,,1
South West,2021-02-20,,,1
South West,2021-02-21,,,1
South West,2021-02-22,,,1
South West,2021-02-23,,,1
South West,2021-02-24,,,1
South West,2021-02-25,,,1
South West,2021-02-26,,,1
South West,2021-02-27,,,1
South West,2021-02-28,,,1
